id,sub_category_name,main_category_id
230,Baby & Toddler Toys,18
231,"Tricycles, Scooters & Wagons",18
232,Finger Toys,18
233,Toy Vehicle Playsets,18
234,Kids' Play Trains & Trams,18
235,Kids' Play Trucks,18
236,Kids' Play Cars & Race Cars,18
237,Kids' Play Boats,18
238,Kids' Play Buses,18
239,Kids' Play Tractors,18
240,"Slot Cars, Race Tracks & Accessories",18
241,"Sony PSP Games, Consoles & Accessories",19
242,"Nintendo DS Games, Consoles & Accessories",19
243,"PlayStation 3 Games, Consoles & Accessories",19
244,"Wii Games, Consoles & Accessories",19
245,"Xbox 360 Games, Consoles & Accessories",19
248,Mac Games & Accessories,19
249,"Nintendo 3DS & 2DS Consoles, Games & Accessories",19
250,Legacy Systems,19
251,"PlayStation Vita Games, Consoles & Accessories",19
252,"Wii U Games, Consoles & Accessories",19
253,"PlayStation 4 Games, Consoles & Accessories",19
254,"Xbox One Games, Consoles & Accessories",19
255,Video Games,19
256,Online Video Game Services,19
259,Virtual Reality Hardware & Accessories,19
260,"Nintendo Switch Consoles, Games & Accessories",19
261,"PlayStation 5 Consoles, Games & Accessories",19
262,"Xbox Series X & S Consoles, Games & Accessories",19
263,PC Games & Accessories,19
264,Baby Girls' Clothing & Shoes,20
265,Boys' School Uniforms,21
270,Toys & Games,22
