asin,title,imgUrl,productURL,stars,reviews,price,listPrice,sub_category_id,isBestSeller,boughtInLastMonth
B07W5SBXRM,"Fabric Markers, Fabric Marker Permanent for T Shirts Clothes Pillow Canvas, Fabric Paint Pens for Kids - No Bleed, Fine Tip, Set of 30 Colors",https://m.media-amazon.com/images/I/71YjcYq2jsL._AC_UL320_.jpg,https://www.amazon.com/dp/B07W5SBXRM,4.4,2785,9.99,14.99,2,False,1000
B07RNNL6RT,"Yarniss 14 Size Crochet Hooks Set,MultiColor,2mm(B)-10mm(N) Ergonomic Crochet Hooks with Case for Arthritic Hands, Extra Long Crochet Needles",https://m.media-amazon.com/images/I/613NGjZe59L._AC_UL320_.jpg,https://www.amazon.com/dp/B07RNNL6RT,4.8,18222,16.99,22.99,3,True,5000
B09XBNGC7D,Knit Picks Hand Operated Yarn Ball Winder (Purple),https://m.media-amazon.com/images/I/51OfY9zeuiL._AC_UL320_.jpg,https://www.amazon.com/dp/B09XBNGC7D,4.4,1555,21.98,0.0,3,True,3000
B0033P75ES,Red Heart Super Saver Yarn (3-Pack) Medium Thyme E300-406,https://m.media-amazon.com/images/I/81F0nsiSKpL._AC_UL320_.jpg,https://www.amazon.com/dp/B0033P75ES,4.7,0,23.88,0.0,3,False,0
B000QHFA02,"Susan Bates Silvalume Aluminum Crochet Hook 5.5"", Size E4/3.5mm",https://m.media-amazon.com/images/I/713jOu8isuL._AC_UL320_.jpg,https://www.amazon.com/dp/B000QHFA02,4.4,0,5.61,0.0,3,False,0
B09B1FPD5G,Double Wooden Yarn Skein Holder,https://m.media-amazon.com/images/I/71vp0dOSRVL._AC_UL320_.jpg,https://www.amazon.com/dp/B09B1FPD5G,4.5,0,37.99,0.0,3,False,0
B01JBL61MY,"addi Click Rocket Lace Standard 5-Inch Interchangeable Circular Knitting Needle Set Sizes US 4, 5, 6, 7, 8, 9, 10 and 11, 3 Blue Cords, Pink Canvas Case Bundle with 1 Artsiga Crafts Project Bag",https://m.media-amazon.com/images/I/814P5VThuCL._AC_UL320_.jpg,https://www.amazon.com/dp/B01JBL61MY,4.5,0,157.81,0.0,3,False,0
B09X2FXGPX,"Zerodis 12Pcs Tunisian Crochet Hooks Set, ABS Plastic Afghan Tunisian Crochet Hook Set with Cable Carpet Rug Weave Knitting Needles Plastic Tunisian Circular for Afghan Crocheting",https://m.media-amazon.com/images/I/71sfua5zsEL._AC_UL320_.jpg,https://www.amazon.com/dp/B09X2FXGPX,3.4,0,10.0,0.0,3,False,0
B0BGNQMT2B,4Pcs Double Ended Dreadlock Crochet Hook for Hair 2Pcs Dreadlock Needle Tool 1Hook 2Hooks (0.5mm+ 0.75mm) 2Pcs Hair Locking Tool for Braid Craft,https://m.media-amazon.com/images/I/61nNoJRUpAL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BGNQMT2B,3.6,0,10.99,0.0,3,False,0
B0C3H99STZ,Crochet Kit for Beginners Crochet Animals Kit Crafts for Adults Kids Complete Crochet Set Knitting Kit with Step-by-Step Video Tutorials Detailed Instructions Enough Yarn,https://m.media-amazon.com/images/I/71Pc9IZA-PL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C3H99STZ,5.0,0,9.79,13.99,3,False,0
B09X1WGVFF,"Embroidery Crochet Hooks with 3 Needles, Tambour Hook Embroidery Needle, French Crochet Embroidery Beading Tool Set, Embroidery Beading Needle Tools Sequin Beads(Wooden French Embroidery Needle)",https://m.media-amazon.com/images/I/61EEaFxIXtL._AC_UL320_.jpg,https://www.amazon.com/dp/B09X1WGVFF,4.2,0,8.7,0.0,3,False,0
B0BLYY563F,"Hiipoo 8 Pack Sublimation Tumblers Blank 20 oz Straight Skinny with Sublimation Papers, Lids and Straws, Shrink Wrap, Stainless Steel Double Wall Insulated Tumbler for Tumbler Press Machine",https://m.media-amazon.com/images/I/81RpCsbQF7L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BLYY563F,4.8,776,35.99,39.99,4,True,3000
B09Q5N8ZHB,"Godora DTF Powder White Digital Transfer Hot Melt Adhesive, DTF PreTreat Transfer Powder for Black or Dark Colored Garments, DTF Hot Melt Adhesive Powder for All DTF and DTG Printers, 450g - 16oz",https://m.media-amazon.com/images/I/51WdKO2IreL._AC_UL320_.jpg,https://www.amazon.com/dp/B09Q5N8ZHB,4.6,1062,20.88,35.99,4,True,3000
B003IG27OK,"Speedball Block Printing Baren - Comfortable Wooden Handle, Made in the USA - 4 Inches",https://m.media-amazon.com/images/I/71u+819tqTL._AC_UL320_.jpg,https://www.amazon.com/dp/B003IG27OK,4.7,727,29.99,33.39,4,False,200
B07RSBKDLW,"INTBUYING 110V 1200W Screen Printing Screen Drying Cabinet Screen Frame Assembly Plate Drying Equipment Silk Screen Printmaking 16"" x24""",https://m.media-amazon.com/images/I/515RkYCxc+S._AC_UL320_.jpg,https://www.amazon.com/dp/B07RSBKDLW,3.4,19,169.99,0.0,4,False,0
B07GYNH35Y,SmarketBuy Heat Press 15x15 Inch Digital Sublimation T-Shirt Heat Press Machine for Hat Mug Plate (5 in 1),https://m.media-amazon.com/images/I/71TERzHuG0L._AC_UL320_.jpg,https://www.amazon.com/dp/B07GYNH35Y,4.1,937,199.99,0.0,4,False,0
